자치구,아파트매매가,아파트전세,아파트월세보증금,아파트월세
강남구,99.7%,98.7%,97.9%,98.8%
강동구,47.6%,42.2%,59.3%,23.3%
강북구,16.1%,8.9%,10.3%,28.4%
강서구,45.8%,24.9%,44.8%,48.8%
관악구,25.9%,26.7%,32.7%,17.2%
광진구,39.1%,65.7%,40.9%,56.4%
구로구,21.2%,19.4%,39.6%,21.6%
금천구,16.4%,18.2%,36.5%,11.8%
노원구,17.4%,10.3%,9.1%,12.2%
도봉구,13.1%,7.0%,6.7%,32.4%
동대문구,30.3%,30.2%,19.8%,40.0%
동작구,57.4%,70.5%,67.3%,41.2%
마포구,59.2%,76.0%,66.6%,63.7%
서대문구,35.0%,34.6%,33.9%,66.0%
서초구,99.3%,99.1%,99.6%,89.5%
성동구,67.7%,70.6%,79.2%,92.6%
성북구,27.8%,34.7%,34.5%,24.7%
송파구,70.0%,74.9%,81.6%,50.5%
양천구,49.7%,50.4%,79.5%,61.4%
영등포구,52.9%,54.7%,44.1%,36.8%
용산구,94.9%,90.3%,71.8%,99.7%
은평구,23.4%,22.1%,20.0%,15.2%
종로구,55.1%,79.1%,86.7%,67.0%
중구,72.0%,74.0%,18.6%,51.5%
중랑구,16.8%,18.4%,16.5%,15.5%
